authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/28348b732c47eae0d3c43ffdfc89832c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=e4f6a05c&x-expires=1761948000&x-signature=8ZJev6Q661fBovU2PQsyhF0wInU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,gdextraclips,Bro is the ultimate troll 🤣 #nba #basketball #fyp #foryou #foryoupage ,73900,3928,757100,183,61,fragment - slowed,slxughter,False,2025-10-28T06:32:36.000Z,https://www.tiktok.com/@gdextraclips/video/7566156433889266999
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/52361f3b39f6bf28124cbba892587c08~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=0f0c5549&x-expires=1761948000&x-signature=mGW6O7g%2Ffs1E0O%2Bysyi%2FCjcm4R8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,swishcultures,Luka Doncic reads vs two defenders in the corner 🔥 #lukadoncic #lakers ,158800,6098,3000000,442,25,original sound,i,True,2025-10-22T16:58:55.000Z,https://www.tiktok.com/@swishcultures/video/7564091639971548446
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ddb1bae76544d73b74940b71b8bb112d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=1603f52b&x-expires=1761948000&x-signature=SmibSOtlp1VHQ%2BRxU3bBzK3Bm%2F4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,houseofhighlights,Giddey WYD!? 😭 #nba #bball #basketball #joshgiddey #sports ,898100,233900,6700000,4697,5,original sound,House of Highlights,True,2025-10-23T00:34:55.000Z,https://www.tiktok.com/@houseofhighlights/video/7564209047130492173
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7310257743653240837~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=8109f230&x-expires=1761948000&x-signature=jO2mJpgsu4Dlpzu669M1ZuyUdM4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,espn,LUKA WENT OFF FOR 49 PTS AGAINST ANT IN THEIR PLAYOFF REMATCH 🔥 #nba #lakers #lukadoncic #anthonyedwards #basketball ,64100,2277,589700,358,31,MENTE MÁ (Ultra Slowed),Nakama & Mc Staff,False,2025-10-25T05:26:16.000Z,https://www.tiktok.com/@espn/video/7565026305662668063
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4add9ace8ea598c5c31634fd18bdb5c7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=bee7b496&x-expires=1761948000&x-signature=0vTEIjOdFocZy7KEgge9jVU%2FoLs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,cityyofwardell,Luka Drops 49 and Gets Revenge on Anthony Edwards and the Timberwolves 🔥😱 #fyp #nba #lukadoncic #luka #aura ,13900,866,92300,67,69,If We Being Rëal,Yeat,False,2025-10-25T05:11:41.000Z,https://www.tiktok.com/@cityyofwardell/video/7565022469560618295
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/976435cff256057894d58df6549836fb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=8e607a52&x-expires=1761948000&x-signature=ul%2BVAmFnYR8z6%2BncMrFoXrN5Jg8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nbaonprime,Luka Dončić missed a free throw that would've gotten him to 50 points vs. the Timberwolves and Austin Reaves wasn't having it 🤣 #nbaonprime #lukadoncic #austinreaves #lakers #nba,15400,134,387700,30,63,original sound,nbaonprime,True,2025-10-25T19:32:09.000Z,https://www.tiktok.com/@nbaonprime/video/7565244299449797901
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ca0f456b97130eaf2fd9a8b460b72b36~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=b152ecb4&x-expires=1761948000&x-signature=%2Bs1Z0otrUrmIvrVDt8IQLeXl7iQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,joelvmoran,Luka Doncic is stuck carrying a mid roster. Again.  #lukadoncic #losangeleslakers #nba ,10400,337,137600,321,72,original sound,Joel Moran,True,2025-10-22T19:08:33.000Z,https://www.tiktok.com/@joelvmoran/video/7564125044176129310
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/989539083516b79d3c9da345688befb8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=87541df7&x-expires=1761948000&x-signature=ZKd4VfwKObzPpCfrpKg33Rm5P6I%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,bleacherreport,Luka finished with 49 PTS 😅 (via lukadoncic/IG) #nba #basketball #luka #lakers ,58600,1287,796000,189,15,original sound,bleacherreport,True,2025-10-25T17:31:20.000Z,https://www.tiktok.com/@bleacherreport/video/7565213202506648862
https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f6274650049ed25640bb66a26dbfcc18~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=2e08b52c&x-expires=1761948000&x-signature=AqZDKukSUddRz2PanXMyJUdfd7Q%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,overtimeeur,“Ou sorry” ✋ #lukadoncic (via @Firstwefeast) #balkans #slovenia #NBA #fyp ,136700,16200,1300000,389,11,original sound,Overtime Europe,True,2025-10-10T17:20:49.000Z,https://www.tiktok.com/@overtimeeur/video/7559644109011504398
https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/5bd5b4768e762a489c045b500aebe6b0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=217c7b2a&x-expires=1761948000&x-signature=38B8jBipK2cvEwZ4lzpxEn2ChVI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,renny.koganti,No one understands Steph like Bron 😭🐐🐐#nba #basketballedits #curry #lebron ,664300,17400,7300000,2116,64,原聲,Curry nation,True,2025-10-27T11:14:47.000Z,https://www.tiktok.com/@renny.koganti/video/7565858392007396630
